"Trends in arrest rates by race for Disorderly conduct (rates are per 100,000 in age group)"
"Age: All ages"
"Years","All races","White","Black","American Indian","Asian",
"1980","338.7","268.2","869.0","816.4","47.7",
"1981","343.0","254.0","1,020.7","550.1","59.2",
"1982","386.6","276.7","1,226.4","510.8","50.7",
"1983","324.0","244.1","932.9","516.9","49.2",
"1984","282.4","221.3","748.7","500.3","44.1",
"1985","282.3","219.9","757.8","491.1","44.9",
"1986","281.7","219.1","764.0","409.2","37.1",
"1987","288.4","221.4","795.2","492.3","47.2",
"1988","311.0","235.8","877.2","528.8","53.5",
"1989","314.6","240.8","879.6","455.4","35.3",
"1990","293.6","232.9","757.6","475.6","44.3",
"1991","299.5","228.2","834.8","446.8","50.6",
"1992","293.6","221.4","831.6","427.2","49.4",
"1993","279.7","213.2","774.7","422.3","40.7",
"1994","283.6","226.7","714.6","407.7","44.7",
"1995","281.1","214.2","776.0","386.6","45.2",
"1996","312.8","242.9","830.2","443.5","54.5",
"1997","297.5","230.6","789.0","436.9","53.4",
"1998","252.3","198.8","650.4","315.1","50.6",
"1999","226.9","181.5","566.1","321.7","35.9",
"2000","226.4","179.4","578.6","286.1","33.4",
"2001","218.1","171.5","565.7","263.0","34.7",
"2002","232.9","190.5","553.5","334.9","38.3",
"2003","220.4","178.3","538.3","289.0","36.2",
"2004","224.6","181.7","548.6","284.8","37.3",
"2005","229.5","181.6","585.3","299.9","35.2",
"2006","235.8","186.2","604.1","288.6","36.4",
"2007","235.4","187.9","591.9","284.1","33.8",
"2008","225.6","180.0","565.3","275.6","34.8",
"2009","213.6","170.5","533.4","270.2","32.8",
"2010","198.9","158.9","494.7","253.4","30.3",
"2011","186.9","148.8","465.0","263.7","27.4",
"2012","173.3","136.7","439.5","232.1","26.5",
"2013","148.1","117.1","371.5","226.4","19.6",
"2014","137.0","109.5","335.2","220.8","19.3",
"2015","120.4","98.3","267.5","340.3","19.0",
"2016","114.5","92.7","263.0","277.0","18.1",
"2017","108.7","87.6","245.7","326.0","16.2",
"2018","100.8","82.5","224.1","273.0","13.7",
"2019","94.5","77.4","204.4","304.8","14.7",


"Internet citation: OJJDP Statistical Briefing Book. Trends in arrest rates by race for Disorderly conduct (rates are per 100,000 in age group). Available: https://www.ojjdp.gov/ojstatbb/crime/ucr_trend.asp?table_in=2. Released onNovember 16, 2020."
"Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. "
"Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. "
