Years,TotalPrisoners,TotalAdmits,TotalReleases,TotalUSPop,DUI,curfew_loitering,disorderly_conduct,drug_violations,drunkeness,liquor,property,vagrancy,violence,weapons,SentGT1Yr,SentLT1Yr,Unsentenced,AdmitProbation,AdmitParole,AdmitOCR,TotPrisonerRate,TotAdmitRate,TotReleaseRate,SentGT1YrRate,SentLT1YrRate,UnsentRate,AdmProbRate,AdmitParoleRate,AdmitOCRRate
1980,329821,182617,169826,227224719,627.9,31.1,338.7,255.7,495.5,204.0,820.0,13.5,195.3,73.4,315964,9128,4719,142122,23944,4873,145.1519013650975,80.36845674347605,74.73922764538659,139.05353316775364,4.017168572227391,2.0767986954799578,62.54689218033536,10.537585921714793,2.144573011882567
1981,369930,212264,174955,229465714,667.4,41.3,343.0,244.0,503.5,210.7,841.2,14.4,199.9,78.3,353673,8960,7297,160272,26565,9109,161.2136268863243,92.50357985942946,76.24450596571478,154.12890833878566,3.9047227770158295,3.1799957705228246,69.84572867387065,11.576892920918025,3.9696562249818292
1982,413806,230834,188436,231664458,767.7,39.3,386.6,291.8,544.8,216.3,882.7,15.9,212.6,83.5,395516,10885,7405,177109,31219,7784,178.62299792227947,99.6415255032345,81.34005605641931,170.72795862367457,4.698605946709357,3.1964333518955246,76.45065692381694,13.475955815371558,3.360032033916916
1983,436855,250061,225856,233791994,821.7,32.1,324.0,282.9,477.0,213.1,825.5,14.4,199.0,76.8,419346,10806,6703,187408,27891,17677,186.85627019375178,106.95875240278757,96.60553218088383,179.3671343596137,4.622057331869114,2.8670785022689866,80.1601444059714,11.929835373233523,7.5609945822182425
1984,462002,246260,221768,235824902,754.5,36.7,282.4,300.4,488.6,214.4,791.1,12.3,193.9,75.3,443398,10324,8280,180418,30746,21261,195.90891211310668,104.42493473399173,94.03926308002875,188.0200081669068,4.377824357158007,3.5110795890418727,76.5050673062508,13.037639256604036,9.015587336065128
1985,502507,271366,234496,237923795,751.7,34.3,282.3,341.0,405.5,230.6,817.5,14.2,193.6,76.0,480568,11260,10679,198499,31629,27065,211.205020498265,114.05584716736718,98.55928869998058,201.98400080160118,4.732607766280796,4.488411930383003,83.42965444040601,13.293752312583951,11.375491047459123
1986,544972,304858,263181,240132887,746.8,35.9,281.7,343.2,388.9,249.9,842.5,16.1,215.2,79.3,522084,11895,10993,219382,33926,37258,226.94600760786258,126.95387283625172,109.59806600751025,217.41461843166866,4.9535072636677215,4.577881912526209,91.35858180058445,14.128010712668441,15.515575757018238
1987,585084,339762,305098,242288918,712.9,36.9,288.4,386.9,341.9,254.5,866.7,14.9,210.5,79.1,560812,12084,12188,241887,37315,45644,241.48194842324565,140.23010330171186,125.92321700821661,231.46415635897964,4.987434051771199,5.030358012494818,99.83411622647965,15.401034561555967,18.8386659929696
1988,627600,379742,336822,244498982,733.1,29.5,311.0,472.5,334.8,273.9,925.4,14.9,240.2,90.7,603732,10798,13070,261242,45587,55767,256.6881853111356,155.31434809818555,137.76008278022198,246.92618147588036,4.416378306229513,5.34562552902572,106.8478886345629,18.645067405638525,22.80868392327294
1989,712364,460798,385479,246819230,703.4,31.4,314.6,551.7,333.2,266.3,940.1,13.7,261.9,91.2,680907,14988,16487,316215,54123,68033,288.6177061649532,186.69452943354534,156.17867376054937,275.8727510818342,6.072460399459151,6.679787470368495,128.11603050540268,21.92819416866344,27.56389767523381
1990,773919,474128,419783,249622814,725.4,32.4,293.6,436.5,364.6,286.3,888.5,15.4,266.9,88.6,739980,15995,17944,323069,58236,75634,310.03536399521556,189.93776746703927,168.16692083280495,296.43925094122204,6.407667529939791,7.188445524053742,129.4228659724988,23.329598391595727,30.299313908062903
1991,825559,480046,436991,252980941,700.2,36.9,299.5,399.2,348.3,246.7,890.4,15.2,268.3,91.8,789612,16879,19070,317237,63306,78794,326.3324884225172,189.75579666295891,172.73672802094606,312.1231176067133,6.672044120509458,7.538117268683889,125.39956517910178,25.024019497184177,31.146219825310872
1992,882500,495756,447105,256514224,633.3,35.5,293.6,415.7,324.5,211.2,836.6,13.4,274.1,93.3,846277,16393,19830,334301,65521,76440,344.035502686198,193.26647554640087,174.3002758396743,329.9142584779236,6.39067874848141,7.730565459792982,130.3245468368257,25.542833055526774,29.799517082530283
1993,969301,518562,456408,259918588,586.6,38.6,279.7,433.3,279.5,199.5,805.8,10.8,275.4,100.9,932074,16703,20524,341722,65039,82673,372.92484829903736,199.50939407227006,175.5965217847367,358.60228665138794,6.426242974203907,7.896318673445548,131.4727055996472,25.022835227159668,31.807267281707457
1994,1054702,541434,456942,263125821,526.2,48.8,283.6,513.6,271.0,205.9,810.1,9.6,282.1,98.6,1016691,15832,22179,345035,73685,97289,400.83561392479226,205.7699992886673,173.65912560896103,386.38967325065374,6.016893340163678,8.429047333974875,131.12928206312372,28.003713098153145,36.97432643830117
1995,1125874,562724,491858,266278393,539.3,56.3,281.1,554.3,265.9,223.4,799.4,9.7,286.0,91.6,1085022,16671,24181,361464,71047,107594,422.81838466705784,211.32920086384928,184.7157009093111,407.4765465480333,6.2607408029535465,9.081097316071004,135.7466506867495,26.681473926425564,40.406583045587176
1996,1181919,555992,504289,269394284,544.7,68.7,312.8,559.1,266.8,251.5,759.3,10.3,258.7,80.3,1137722,20050,24148,353893,63913,111398,438.7320259549382,206.38596771414794,187.19365255723093,422.3259614520997,7.4426226504494055,8.963813055513828,131.36618741324148,23.724705309634558,41.35128568652184
1997,1240659,584177,528848,272646925,541.8,67.0,297.5,580.8,269.5,233.4,739.3,10.6,251.5,80.3,1194334,21280,25045,365085,64100,125665,455.0423592710609,214.2613565144738,193.96807794549673,438.05152029497486,7.804966074713661,9.18587290137235,133.90394921930624,23.510259651745567,46.09074538434644
