"Trends in arrest rates by race for Curfew and loitering (rates are per 100,000 in age group)",,,,,,
Age: All ages,,,,,,
Years,All races,White,Black,American Indian,Asian,Crime
1980,31.1,29.4,44.2,74.1,11.1,curfew loitering
1981,41.3,34.7,93.8,36.4,13.1,curfew loitering
1982,39.3,32.2,94.7,35.7,14.3,curfew loitering
1983,32.1,26.7,74.4,33.6,10.7,curfew loitering
1984,36.7,31,81,35,17.7,curfew loitering
1985,34.3,30.2,65.1,43.6,20.9,curfew loitering
1986,35.9,32.6,62,36.9,21.1,curfew loitering
1987,36.9,32,73.5,59.8,20.7,curfew loitering
1988,29.5,25.5,58.7,36.6,21.3,curfew loitering
1989,31.4,27.8,60.1,34,12.8,curfew loitering
1990,32.4,29.4,54.9,40.6,22.4,curfew loitering
1991,36.9,34.1,59.9,34.4,20.9,curfew loitering
1992,35.5,32.8,57.2,40.3,19.8,curfew loitering
1993,38.6,36.7,53,57.8,24.4,curfew loitering
1994,48.8,45.1,77.6,67.3,28.2,curfew loitering
1995,56.3,52.2,89.5,84.3,25.6,curfew loitering
1996,68.7,61.2,126.6,90.5,31.8,curfew loitering
1997,67,57.3,139.4,98.7,25.7,curfew loitering
1998,68.1,60.3,131.5,75.9,20.2,curfew loitering
1999,59.9,53.8,110.9,71.8,18.4,curfew loitering
2000,54.8,49.2,99.1,69.2,24.4,curfew loitering
2001,50.1,44.2,98.5,45.5,16.9,curfew loitering
2002,49.1,41.5,107.5,49.6,16.9,curfew loitering
2003,47,39.1,108.6,32.2,13.9,curfew loitering
2004,46.9,38.2,114.1,27.2,13.3,curfew loitering
2005,47.7,36.6,129,34.3,11.6,curfew loitering
2006,51.2,39.1,141.2,32.1,11.5,curfew loitering
2007,47.5,38,119.3,32.9,11.4,curfew loitering
2008,43.8,34.9,111,26.2,10.8,curfew loitering
2009,36.7,28,99.9,26.4,8.3,curfew loitering
2010,30.6,22.9,86,23.6,7.6,curfew loitering
2011,24.7,19.1,64.6,24.5,6.6,curfew loitering
2012,22.4,16.2,64.4,24.3,6.6,curfew loitering
2013,17.8,11.9,57.9,16.7,4.2,curfew loitering
2014,16.9,11,56,13.5,3.7,curfew loitering
2015,14,9.4,44.7,11.5,3.1,curfew loitering
2016,10.6,7.6,30.8,11.7,2.4,curfew loitering
2017,9.3,6.7,26.7,11.5,2.4,curfew loitering
2018,6.7,4.8,19.6,7.6,1.4,curfew loitering
2019,4.5,3.8,9.4,7.9,1.2,curfew loitering
,,,,,,
,,,,,,
"Internet citation: OJJDP Statistical Briefing Book. Trends in arrest rates by race for Curfew and loitering (rates are per 100,000 in age group). Available: https://www.ojjdp.gov/ojstatbb/crime/ucr_trend.asp?table_in=2. Released onNovember 16, 2020.",,,,,,
Data source: Arrest estimates for 1980-2014 developed by the Bureau of Justice Statistics and disseminated through 'Arrest Data Analysis Tool.' Online. Available from the BJS website. ,,,,,,
Arrest estimates for 2015 through 2019 developed by the National Center for Juvenile Justice based on data published in the FBI's Crime in the United States reports. These are preliminary estimates that will be updated upon release of final estimates on the Bureau of Justice Statistics' Arrest Data Analysis Tool. ,,,,,,
