Years,STATEID,STATE,REGION,JURGT1M,JURGT1F,JURLT1M,JURLT1F,JURUNSM,JURUNSF,JURTOTM,JURTOTF,JURUSTOTAL,PVINM,PVINF,PVOTHM,PVOTHF,PVINCLM,PVINCLF,WHITEM,WHITEF,BLACKM,BLACKF,HISPM,HISPF,AIANM,AIANF,ASIANM,ASIANF,NHPIM,NHPIF,APIM,APIF,TWORACEM,TWORACEF,ADDRACEM,ADDRACEF,UNKRACEM,UNKRACEF,TOTRACEM,TOTRACEF,NOTHISPM,NOTHISPF,UNKHISPM,UNKHISPF,TOTHCATM,TOTHCATF,COMMITM,COMMITF,PARNEWM,PARNEWF,PARNOM,PARNOF,ADCRNEWM,ADCRNEWF,ADCRNOM,ADCRNOF,ADTRANSM,ADTRANSF,ADAWOLM,ADAWOLF,ADESCAPM,ADESCAPF,ADAWESM,ADAWESF,ADRETM,ADRETF,ADOTHM,ADOTHF,ADTOTM,ADTOTF,RLUNEXPM,RLUNEXPF,RLUNCOMM,RLUNCOMF,RLUNOTHM,RLUNOTHF,RLCOPROM,RLCOPROF,RLCOSUPM,RLCOSUPF,RLCODPM,RLCODPF,RLCOOTHM,RLCOOTHF,RLDEATHM,RLDEATHF,RLAWOLM,RLAWOLF,RLESCAPM,RLESCAPF,RLAWESM,RLAWESF,RLTRANM,RLTRANF,RLBONDM,RLBONDF,RLOTHM,RLOTHF,RLTOTM,RLTOTF,FLOJANM,FLOJANF,FLOADMM,FLOADMF,FLORLM,FLORLF,FLODECM,FLODECF,ADMITUSTOTAL,RELEASEUSTOTAL,Population (People),        Under 5 years of age (People),        5 to 14 years (People),        15 to 24 years (People),        25 to 34 years (People),        35 to 44 years (People),        45 to 54 years (People),        55 to 64 years (People),        65+ years (People),        White (People),        Black or African American (People),        Asian (People),        American Indian and Alaska Native (People),        Two or more races (People),        Northeast (People),        Midwest (People),        South (People),        West (People),        Male (People),        Female (People),        Children (under 18) (People),        Working-age (16-64) (People),        Elderly (65+) (People),        Working-age (18-64) (People),        Children (15 and under) (People),        White (People),        Black or African American (People),        Asian (People),        American Indian and Alaska Native (People),        Other / Mixed race (People),        Hispanic (People),        Not Hispanic (People),        Hispanic (People),"        White, Not-Hispanic (People)","        Black, Not-Hispanic (People)","        Asian, Not-Hispanic (People)","        American Indian and Alaska Native, Not-Hispanic (People)","        Other / Mixed race, Not Hispanic (People)",DUI,curfew loitering,disorderly conduct,drug violations,drunkeness,liquor,property,vagrancy,violence,weapons
1980,70.0,US,5.0,303633.0,12331.0,8489.0,639.0,4269.0,450.0,316401.0,13420.0,329821.0,void,void,void,void,void,void,163083.0,6191.0,143700.0,6549.0,24451.0,795.0,2853.0,158.0,void,void,void,void,824.0,18.0,void,void,0.0,0.0,4977.0,342.0,315437.0,13258.0,206527.0,8913.0,84459.0,3550.0,void,void,134021.0,8101.0,10259.0,369.0,12846.0,470.0,2303.0,89.0,2396.0,85.0,2539.0,194.0,0.0,0.0,0.0,0.0,7477.0,523.0,266.0,15.0,640.0,24.0,172747.0,9870.0,22708.0,1191.0,630.0,68.0,1223.0,95.0,4534.0,446.0,28309.0,1463.0,79226.0,4591.0,4115.0,268.0,void,void,0.0,0.0,0.0,0.0,8082.0,526.0,2689.0,198.0,1760.0,152.0,6104.0,721.0,160094.0,9732.0,void,void,void,void,0.0,0.0,void,void,182617.0,169826.0,227224719.0,16451188.0,34838697.0,42496648.0,37428687.0,25805222.0,22742771.0,21754058.0,25707448.0,194713000.0,26683000.0,3729000.0,1420000.0,void,49183045.0,58901238.0,75721008.0,43419428.0,110398754.0,116825965.0,63683466.0,146228559.0,25707448.0,void,void,194713000.0,26683000.0,3729000.0,1420000.0,void,14609000.0,212615681.0,14609000.0,void,void,void,void,void,627.9,31.1,338.7,255.7,495.5,204.0,820.0,13.5,195.3,73.4
1981,70.0,US,5.0,339375.0,14298.0,8209.0,751.0,6809.0,488.0,354393.0,15537.0,369930.0,void,void,void,void,void,void,183202.0,7301.0,160442.0,7687.0,28211.0,876.0,3116.0,191.0,void,void,void,void,1124.0,46.0,void,void,0.0,0.0,5451.0,212.0,353335.0,15437.0,253970.0,11517.0,71154.0,3044.0,void,void,150741.0,9531.0,11969.0,430.0,13597.0,569.0,3150.0,151.0,5640.0,168.0,2935.0,211.0,0.0,0.0,0.0,0.0,8651.0,523.0,825.0,85.0,3009.0,78.0,200517.0,11747.0,21933.0,1053.0,3150.0,244.0,1425.0,96.0,4770.0,517.0,31181.0,1680.0,77169.0,4725.0,4100.0,273.0,void,void,0.0,0.0,0.0,0.0,8941.0,521.0,2246.0,162.0,2358.0,149.0,7061.0,410.0,165110.0,9845.0,void,void,void,void,0.0,0.0,void,void,212264.0,174955.0,229465714.0,16892767.0,34360571.0,42203419.0,38900546.0,26394405.0,22579485.0,21913749.0,26220666.0,196634941.0,27133356.0,4213992.0,1483027.0,void,49269574.0,58912038.0,76964608.0,44319388.0,111502912.0,117962696.0,63211690.0,148208039.0,26220666.0,void,void,196634941.0,27133356.0,4213992.0,1483027.0,void,15560309.0,213905405.0,15560309.0,181974435.0,26532114.0,void,void,void,667.4,41.3,343.0,244.0,503.5,210.7,841.2,14.4,199.9,78.3
1982,70.0,US,5.0,379075.0,16441.0,10027.0,858.0,6919.0,486.0,396021.0,17785.0,413806.0,void,void,void,void,void,void,206167.0,8574.0,180844.0,8766.0,36127.0,1099.0,3540.0,218.0,void,void,void,void,1450.0,54.0,void,void,0.0,0.0,4438.0,311.0,396439.0,17923.0,257874.0,11996.0,102438.0,4828.0,void,void,166001.0,11108.0,13699.0,479.0,16309.0,732.0,4509.0,148.0,2984.0,143.0,3176.0,223.0,0.0,0.0,0.0,0.0,8803.0,545.0,938.0,105.0,894.0,38.0,217313.0,13521.0,25823.0,1450.0,483.0,52.0,1018.0,87.0,6931.0,638.0,38101.0,2251.0,81395.0,5212.0,5274.0,377.0,void,void,0.0,0.0,0.0,0.0,9109.0,518.0,3000.0,202.0,2215.0,162.0,3061.0,278.0,177196.0,11240.0,void,void,void,void,0.0,0.0,void,void,230834.0,188436.0,231664458.0,17227895.0,34102586.0,41643879.0,39417346.0,28030377.0,22425286.0,22029823.0,26787304.0,198037360.0,27508316.0,4581276.0,1537259.0,void,49333784.0,58784164.0,78302445.0,45244103.0,112579479.0,119085017.0,62812665.0,149865297.0,26787304.0,void,void,198037360.0,27508316.0,4581276.0,1537259.0,void,16239562.0,215424896.0,16239562.0,182781655.0,26856062.0,void,void,void,767.7,39.3,386.6,291.8,544.8,216.3,882.7,15.9,212.6,83.5
1983,70.0,US,5.0,401870.0,17476.0,9827.0,979.0,6138.0,565.0,417835.0,19020.0,436855.0,void,void,void,void,void,void,216522.0,9380.0,191020.0,9196.0,39744.0,1344.0,3833.0,253.0,void,void,void,void,1503.0,74.0,void,void,0.0,0.0,5206.0,251.0,418084.0,19154.0,244397.0,11501.0,133943.0,6309.0,void,void,174887.0,12521.0,14001.0,525.0,12753.0,612.0,8870.0,368.0,8026.0,413.0,3450.0,258.0,0.0,0.0,0.0,0.0,7942.0,486.0,4134.0,222.0,573.0,20.0,234636.0,15425.0,33708.0,2205.0,934.0,73.0,1266.0,121.0,9165.0,723.0,50509.0,3123.0,91830.0,6129.0,4474.0,392.0,void,void,0.0,0.0,0.0,0.0,8651.0,515.0,3240.0,252.0,5259.0,322.0,1702.0,367.0,211611.0,14245.0,void,void,void,void,0.0,0.0,void,void,250061.0,225856.0,233791994.0,17546968.0,33921858.0,41020290.0,40207832.0,29267313.0,22355442.0,22111766.0,27360434.0,199420087.0,27867416.0,4908787.0,1595947.0,void,49536746.0,58691281.0,79449355.0,46114521.0,113646987.0,120144916.0,62566086.0,151358359.0,27360434.0,void,void,199420087.0,27867416.0,4908787.0,1595947.0,void,16935469.0,216856525.0,16935469.0,183561138.0,27158852.0,void,void,void,821.7,32.1,324.0,282.9,477.0,213.1,825.5,14.4,199.0,76.8
1984,70.0,US,5.0,424193.0,19205.0,9339.0,985.0,7676.0,604.0,441208.0,20794.0,462002.0,void,void,void,void,void,void,229323.0,10105.0,199692.0,9981.0,46125.0,1781.0,4189.0,285.0,void,void,void,void,2061.0,119.0,void,void,0.0,0.0,6359.0,328.0,441624.0,20818.0,253839.0,12357.0,141660.0,6680.0,441624.0,20818.0,167833.0,12585.0,15762.0,662.0,13602.0,720.0,10210.0,448.0,10039.0,564.0,3456.0,292.0,0.0,0.0,0.0,0.0,7664.0,555.0,319.0,34.0,1452.0,63.0,230337.0,15923.0,33892.0,2241.0,972.0,69.0,1836.0,182.0,8660.0,730.0,53999.0,3540.0,88667.0,5695.0,4752.0,374.0,void,void,0.0,0.0,0.0,0.0,8106.0,625.0,3114.0,268.0,949.0,103.0,1625.0,322.0,207598.0,14170.0,void,void,void,void,0.0,0.0,void,void,246260.0,221768.0,235824902.0,17694998.0,33788303.0,40460043.0,40961840.0,30502944.0,22385372.0,22154045.0,27877238.0,200707727.0,28212477.0,5249129.0,1655707.0,void,49718187.0,58775281.0,80417379.0,46913936.0,114670252.0,121154531.0,62482778.0,152791366.0,27877238.0,void,void,200707727.0,28212477.0,5249129.0,1655707.0,void,17640121.0,218184781.0,17640121.0,184242853.0,27444460.0,void,void,void,754.5,36.7,282.4,300.4,488.6,214.4,791.1,12.3,193.9,75.3
1985,70.0,US,5.0,459223.0,21345.0,10294.0,966.0,9842.0,837.0,479359.0,23148.0,502507.0,void,void,void,void,void,void,249418.0,11429.0,216344.0,10793.0,52460.0,2212.0,4480.0,310.0,void,void,void,void,1800.0,104.0,void,void,0.0,0.0,7235.0,463.0,479277.0,23099.0,278556.0,13838.0,148261.0,7049.0,479277.0,23099.0,184594.0,13905.0,15221.0,594.0,15146.0,668.0,11541.0,599.0,14088.0,837.0,4280.0,267.0,0.0,0.0,0.0,0.0,7779.0,526.0,336.0,26.0,836.0,123.0,253821.0,17545.0,35991.0,2467.0,821.0,68.0,2346.0,222.0,8575.0,621.0,61752.0,4011.0,87619.0,6286.0,5540.0,512.0,void,void,0.0,0.0,0.0,0.0,8968.0,610.0,4137.0,296.0,509.0,33.0,1636.0,301.0,219042.0,15454.0,void,void,void,void,0.0,0.0,void,void,271366.0,234496.0,237923795.0,17841708.0,33692422.0,39991892.0,41696515.0,31691031.0,22459257.0,22135001.0,28415906.0,202031343.0,28568658.0,5606129.0,1717908.0,void,49868586.0,58819680.0,81408836.0,47826630.0,115729577.0,122194155.0,62623913.0,154216286.0,28415906.0,void,void,202031343.0,28568658.0,5606129.0,1717908.0,void,18367986.0,219555809.0,18367986.0,184945003.0,27737907.0,void,void,void,751.7,34.3,282.3,341.0,405.5,230.6,817.5,14.2,193.6,76.0
1986,70.0,US,5.0,497540.0,24544.0,10769.0,1126.0,10132.0,861.0,518441.0,26531.0,544972.0,void,void,void,void,void,void,261658.0,13043.0,234430.0,12403.0,59908.0,2702.0,4928.0,363.0,void,void,void,void,1756.0,94.0,void,void,0.0,0.0,15706.0,752.0,518478.0,26655.0,295438.0,15924.0,163132.0,8029.0,518478.0,26655.0,203142.0,16240.0,14681.0,746.0,17622.0,877.0,13507.0,765.0,21591.0,1395.0,4043.0,214.0,0.0,0.0,0.0,0.0,8097.0,601.0,740.0,67.0,518.0,12.0,283941.0,20917.0,36166.0,2350.0,697.0,51.0,3291.0,277.0,9624.0,802.0,70416.0,4945.0,99178.0,6953.0,9765.0,847.0,void,void,0.0,0.0,0.0,0.0,8916.0,614.0,4540.0,202.0,608.0,61.0,1134.0,454.0,245587.0,17594.0,void,void,void,void,0.0,0.0,void,void,304858.0,263181.0,240132887.0,17962587.0,33572752.0,39556684.0,42371801.0,33009010.0,22658896.0,21993783.0,29007328.0,203429819.0,28941763.0,5978210.0,1783256.0,void,50071307.0,58847704.0,82427783.0,48786047.0,116865225.0,123267616.0,62865654.0,155758958.0,29007328.0,void,void,203429819.0,28941763.0,5978210.0,1783256.0,void,19154577.0,220978310.0,19154577.0,185677726.0,28040272.0,void,void,void,746.8,35.9,281.7,343.2,388.9,249.9,842.5,16.1,215.2,79.3
1987,70.0,US,5.0,533990.0,26822.0,10761.0,1323.0,11210.0,978.0,555961.0,29123.0,585084.0,void,void,void,void,void,void,277229.0,14377.0,249730.0,13228.0,66781.0,3029.0,5106.0,355.0,void,void,void,void,1909.0,88.0,void,void,0.0,0.0,18159.0,839.0,552133.0,28887.0,289425.0,15753.0,195927.0,10105.0,552133.0,28887.0,223352.0,18535.0,16739.0,786.0,18884.0,906.0,13811.0,749.0,29091.0,1993.0,4131.0,217.0,0.0,0.0,0.0,0.0,8561.0,625.0,610.0,63.0,444.0,265.0,315623.0,24139.0,44676.0,3236.0,2339.0,269.0,2517.0,216.0,10858.0,1066.0,82363.0,6548.0,108218.0,8485.0,14216.0,1117.0,void,void,0.0,0.0,0.0,0.0,9842.0,707.0,3978.0,270.0,714.0,58.0,1811.0,74.0,283001.0,22097.0,void,void,void,void,0.0,0.0,void,void,339762.0,305098.0,242288918.0,18052290.0,33807229.0,38889932.0,42840709.0,34226446.0,23095853.0,21750615.0,29625949.0,204770146.0,29324578.0,6343072.0,1851250.0,void,50301685.0,59017675.0,83207732.0,49761931.0,117960907.0,124328116.0,63056407.0,157278129.0,29625949.0,void,void,204770146.0,29324578.0,6343072.0,1851250.0,void,19946199.0,222342719.0,19946199.0,186352800.0,28350939.0,void,void,void,712.9,36.9,288.4,386.9,341.9,254.5,866.7,14.9,210.5,79.1
1988,70.0,US,5.0,573587.0,30145.0,9616.0,1182.0,11793.0,1277.0,594996.0,32604.0,627600.0,void,void,void,void,void,void,292534.0,16178.0,274570.0,14892.0,72784.0,3616.0,5040.0,310.0,void,void,void,void,2036.0,141.0,void,void,0.0,0.0,20816.0,1083.0,594996.0,32604.0,320487.0,18183.0,201725.0,10805.0,594996.0,32604.0,240060.0,21182.0,20676.0,1117.0,22718.0,1076.0,15130.0,903.0,37061.0,2673.0,3927.0,157.0,0.0,0.0,0.0,0.0,9186.0,748.0,909.0,39.0,1872.0,308.0,351539.0,28203.0,51613.0,4155.0,2771.0,348.0,3425.0,363.0,11392.0,1019.0,88927.0,6523.0,118602.0,9221.0,16358.0,1609.0,void,void,0.0,0.0,0.0,0.0,10414.0,863.0,4819.0,266.0,729.0,73.0,1360.0,401.0,311942.0,24880.0,void,void,void,void,0.0,0.0,void,void,379742.0,336822.0,244498982.0,18195465.0,34255589.0,38150913.0,43130183.0,35180440.0,23949210.0,21513632.0,30123404.0,206129014.0,29722999.0,6723845.0,1923182.0,void,50583925.0,59254030.0,83890480.0,50770401.0,119085496.0,125413340.0,63247010.0,158587206.0,30123404.0,void,void,206129014.0,29722999.0,6723845.0,1923182.0,void,20786556.0,223712426.0,20786556.0,187011730.0,28669163.0,void,void,void,733.1,29.5,311.0,472.5,334.8,273.9,925.4,14.9,240.2,90.7
1989,70.0,US,5.0,643643.0,37264.0,13134.0,1854.0,14975.0,1512.0,671752.0,40612.0,712364.0,void,void,void,void,void,void,324124.0,19426.0,315683.0,19269.0,85798.0,4585.0,5598.0,396.0,void,void,void,void,2316.0,164.0,void,void,0.0,0.0,24196.0,1391.0,671917.0,40646.0,361432.0,22289.0,224687.0,13772.0,671917.0,40646.0,288391.0,27824.0,27812.0,1658.0,23318.0,1335.0,17403.0,1081.0,46036.0,3513.0,3579.0,129.0,0.0,0.0,0.0,0.0,8925.0,777.0,796.0,56.0,7580.0,585.0,423840.0,36958.0,53056.0,5080.0,618.0,96.0,2937.0,320.0,14662.0,1534.0,103367.0,7919.0,131502.0,11062.0,29404.0,2877.0,void,void,0.0,0.0,0.0,0.0,9683.0,785.0,5729.0,250.0,927.0,93.0,1511.0,423.0,354971.0,30508.0,void,void,void,void,0.0,0.0,void,void,460798.0,385479.0,246819230.0,18508093.0,34713696.0,37390779.0,43236392.0,36414447.0,24633174.0,21240949.0,30681589.0,207539903.0,30143449.0,7134492.0,2001351.0,void,50756901.0,59467754.0,84700107.0,51894357.0,120277490.0,126541629.0,63456320.0,159657205.0,30681589.0,void,void,207539903.0,30143449.0,7134492.0,2001351.0,void,21648268.0,225170962.0,21648268.0,187712384.0,29005206.0,void,void,void,703.4,31.4,314.6,551.7,333.2,266.3,940.1,13.7,261.9,91.2
